"x" "y" "condition"
"460" -2719.0706 -3940.873 0
"461" -2716.8218 -3964.499 1
"462" -2713.32495 -3962.7285 1
"463" -2709.64135 -3961.117 1
"464" -2708.5185 -3964.496 1
"465" -2719.33085 -3981.229 1
"466" -2717.08205 -4004.855 0
"467" -2713.5852 -4003.0845 0
"468" -2709.9016 -4001.473 0
"469" -2708.77875 -4004.852 0
"470" -2716.57835 -4008.366 1
"471" -2712.9104 -3959.633 1
"472" -2710.4248 -3959.7825 1
"473" -2704.34445 -4005.198 0
"474" -2700.8872 -3960.455 0
"475" -2701.14745 -4000.811 0
"476" -2710.799 -3947.1745 1
"477" -2708.5502 -3970.8005 1
"478" -2705.05335 -3969.03 1
"479" -2701.36975 -3967.4185 1
"480" -2700.2469 -3970.7975 1
"481" -2692.6156 -3966.7565 1
"482" -2704.43415 -3941.401 1
"483" -2701.94855 -3941.5505 1
"484" -2699.7457 -3927.0475 1
"485" -2692.41095 -3942.223 0
"486" -2692.6712 -3982.579 1
"487" -2684.13935 -3948.5245 0
"488" -2688.90445 -3999.0385 1
"489" -2685.4472 -3954.2955 1
"490" -2685.70745 -3994.6515 1
"491" -2677.1756 -3960.597 0
"492" -2684.56115 -4008.658 1
"493" -2681.36415 -4004.271 0
"494" -2672.8323 -3970.2165 1
"495" -2707.088 -4016.864 1
"496" -2694.8541 -4013.696 0
"497" -2691.6571 -4009.309 0
"498" -2683.12525 -3975.2545 1
"499" -2690.78855 -4009.756 1
"500" -2687.59155 -4005.369 0
"501" -2679.0597 -3971.3145 1
"502" -2631.45725 -3846.932 1
"503" -2626.41665 -3851.35 1
"504" -2672.8934 -3876.484 0
"505" -2667.8528 -3880.902 1
"506" -2694.34555 -3948.0535 1
"507" -2684.80795 -3948.726 1
"508" -2685.0682 -3989.082 1
"509" -2676.53635 -3955.0275 0
"510" -2686.4364 -3974.2905 1
"511" -2685.31355 -3977.6695 1
"512" -2677.68225 -3973.6285 0
"513" -2669.206 -3955.3965 0
"514" -2662.24225 -3967.469 0
"515" -2657.89895 -3977.0885 0
"516" -2668.1919 -3982.1265 1
"517" -2664.12635 -3978.1865 1
"518" -2661.603 -3961.8995 0
"519" -2686.06995 -3970.312 1
"520" -2684.9471 -3973.691 1
"521" -2677.3158 -3969.65 1
"522" -2668.83955 -3951.418 0
"523" -2661.8758 -3963.4905 0
"524" -2657.5325 -3973.11 0
"525" -2667.82545 -3978.148 0
"526" -2663.7599 -3974.208 0
"527" -2661.23655 -3957.921 0
"528" -2721.3379 -4017.6645 1
"529" -2717.84105 -4015.894 1
"530" -2714.15745 -4014.2825 1
"531" -2713.0346 -4017.6615 1
"532" -2705.4033 -4013.6205 0
"533" -2695.91295 -4022.1185 0
"534" -2691.8474 -4018.1785 1
"535" -2718.56565 -4015.0845 0
"536" -2715.0688 -4013.314 0
"537" -2711.3852 -4011.7025 0
"538" -2710.26235 -4015.0815 0
"539" -2702.63105 -4011.0405 0
"540" -2682.84775 -4014.5005 1
"541" -2693.1407 -4019.5385 0
"542" -2689.07515 -4015.5985 1
"543" -2768.1958 -3955.8785 1
"544" -2765.2097 -3951.5425 1
"545" -2759.9553 -3941.09 0
"546" -2768.2016 -3936.793 0
"547" -2775.77015 -3951.8875 1
"548" -2771.5603 -3949.833 1
"549" -2735.07305 -3939.5845 0
"550" -2736.99525 -3913.493 1
"551" -2736.1647 -3925.197 1
"552" -2732.58745 -3939.734 0
"553" -2730.3846 -3925.231 1
"554" -2723.04985 -3940.4065 0
"555" -2714.77825 -3946.708 1
"556" -2735.2369 -3980.047 1
"557" -2732.9881 -4003.673 0
"558" -2729.49125 -4001.9025 0
"559" -2725.80765 -4000.291 0
"560" -2724.6848 -4003.67 0
"561" -2717.0535 -3999.629 1
"562" -2707.56315 -4008.127 1
"563" -2703.4976 -4004.187 1
"564" -2739.21615 -3979.5805 1
"565" -2749.58575 -4011.259 1
"566" -2748.2135 -4023.2355 1
"567" -2744.73245 -4013.307 1
"568" -2741.9582 -4017.302 1
"569" -2738.44825 -4024.347 1
"570" -2729.53285 -4013.682 0
"571" -2725.8649 -3964.949 1
"572" -2723.3793 -3965.0985 1
"573" -2717.29895 -4010.514 0
"574" -2713.8417 -3965.771 1
"575" -2714.10195 -4006.127 0
"576" -2705.5701 -3972.0725 1
"577" -2718.3578 -4018.9365 1
"578" -2715.58555 -4016.3565 0
"579" -2730.008 -4004.945 0
"580" -2722.94505 -3917.473 1
"581" -2681.7289 -3879.2925 1
"582" -2726.9243 -3917.0065 1
"583" -2682.14895 -3876.3245 1
"584" -2720.51335 -4009.5135 0
"585" -2716.8454 -3960.7805 1
"586" -2714.3598 -3960.93 1
"587" -2708.27945 -4006.3455 0
"588" -2704.8222 -3961.6025 1
"589" -2705.08245 -4001.9585 0
"590" -2696.5506 -3967.904 1
"591" -2681.61725 -3974.776 0
"592" -2681.2508 -3970.7975 1
"593" -2709.3383 -4014.768 1
"594" -2706.56605 -4012.188 0
"595" -2720.9885 -4000.7765 0
"596" -2714.235 -4016.0235 1
"597" -2702.0011 -4012.8555 0
"598" -2698.8041 -4008.4685 0
"599" -2690.27225 -3974.414 1
"600" -2675.3389 -3981.286 1
"601" -2674.97245 -3977.3075 1
"602" -2703.05995 -4021.278 0
"603" -2700.2877 -4018.698 0
"604" -2714.71015 -4007.2865 1
"605" -2710.4079 -4014.8775 1
"606" -2698.174 -4011.7095 0
"607" -2694.977 -4007.3225 0
"608" -2686.44515 -3973.268 1
"609" -2671.5118 -3980.14 0
"610" -2671.14535 -3976.1615 1
"611" -2699.23285 -4020.132 1
"612" -2696.4606 -4017.552 0
"613" -2710.88305 -4006.1405 1
"614" -2532.312 -3886.9665 1
"615" -2527.60655 -3881.6295 1
"616" -2522.2907 -3882.5035 0
"617" -2517.58525 -3877.1665 0
"618" -2501.83715 -3877.058 1
"619" -2519.52355 -3884.5045 0
"620" -2514.8181 -3879.1675 0
"621" -2499.07 -3879.059 1
"622" -2515.3492 -3882.964 0
"623" -2510.64375 -3877.627 0
"624" -2494.89565 -3877.5185 1
"625" -2505.81875 -3886.756 0
"626" -2501.1133 -3881.419 0
"627" -2485.3652 -3881.3105 0
"628" -2469.45125 -3889.042 1
"629" -2515.19495 -3886.08 0
"630" -2510.4895 -3880.743 0
"631" -2494.7414 -3880.6345 1
"632" -2510.5379 -3884.3495 0
"633" -2505.83245 -3879.0125 0
"634" -2490.08435 -3878.904 1
"635" -2478.0081 -3851.9215 1
"636" -2462.26 -3851.813 1
"637" -2473.98505 -3809.5555 1
"638" -2467.6668 -3795.6415 1
"639" -2433.94555 -3828.7445 1
"640" -2431.52805 -3816.0545 1
"641" -2463.19575 -3819.4395 0
"642" -2440.89035 -3865.9265 1
"643" -2424.9764 -3873.658 0
"644" -2412.5759 -3842.858 1
"645" -2410.1584 -3830.168 1
"646" -2441.8261 -3833.553 1
"647" -2208.42945 -2801.316 0
"648" -2190.9369 -2797.3815 1
"649" -2237.97935 -2799.6925 1
"650" -2213.9451 -2808.2405 0
"651" -2185.6213 -2790.0755 1
"652" -2202.70535 -2799.117 0
"653" -2352.5532 -3986.3 1
"654" -2348.27275 -3987.722 1
"655" -2340.0384 -3985.1655 0
"656" -2329.99525 -3996.915 0
"657" -2330.54365 -3981.7405 0
"658" -2325.70115 -3981.6515 0
"659" -2350.9593 -3989.2355 1
"660" -2346.67885 -3990.6575 1
"661" -2338.4445 -3988.101 0
"662" -2328.40135 -3999.8505 0
"663" -2328.94975 -3984.676 0
"664" -2324.10725 -3984.587 0
"665" -2318.10495 -3996.551 0
"666" -2316.51105 -3999.4865 0
"667" -2343.42675 -3984.208 1
"668" -2335.1924 -3981.6515 0
"669" -2325.14925 -3993.401 0
"670" -2325.69765 -3978.2265 0
"671" -2320.85515 -3978.1375 0
"672" -2313.25895 -3993.037 0
"673" -2316.6825 -3975.3545 0
"674" -2315.0886 -3978.29 0
"675" -2311.8365 -3971.8405 0
"676" -2342.14045 -3988.7385 1
"677" -2333.9061 -3986.182 1
"678" -2323.86295 -3997.9315 0
"679" -2324.41135 -3982.757 1
"680" -2319.56885 -3982.668 0
"681" -2311.97265 -3997.5675 0
"682" -2310.5502 -3976.371 0
"683" -2311.3235 -3994.5905 0
"684" -2309.7296 -3997.526 0
"685" -2306.4775 -3991.0765 0
"686" -2305.1912 -3995.607 0
"687" -2311.3362 -3971.299 0
"688" -2309.7423 -3974.2345 1
"689" -2306.4902 -3967.785 0
"690" -2305.2039 -3972.3155 1
"691" -2304.311 -3964.429 1
"692" -2302.7171 -3967.3645 1
