"ligand_gene_symbol" "receptor_gene_symbol"
"556" "F2" "Itga2b"
"557" "Jag1" "Notch2"
"558" "Jag1" "Notch3"
"559" "Oxt" "Avpr2"
"560" "Oxt" "Oxtr"
"561" "Spint1" "St14"
"562" "Bmp2" "Acvr2b"
"563" "Bmp2" "Bmpr1b"
"564" "Bmp2" "Tgfbr3"
"565" "Bmp2" "Hjv"
"566" "Bmp2" "Acvr2a"
"567" "Bmp2" "Bmpr2"
"568" "Bmp2" "Acvr1"
"569" "Bmp2" "Bmpr1a"
"570" "Il1b" "Il1rap"
"571" "Il1a" "Il1rap"
"572" "Cst3" "Lrp2"
"573" "Angpt4" "Tek"
"574" "Edn3" "Ednrb"
"575" "Edn3" "Kel"
"576" "Edn3" "Ednra"
"577" "a" "Mc1r"
"578" "Ghrh" "Ghrhr"
"579" "Ghrh" "Vipr1"
"580" "Il21" "Il21r"
"581" "Il21" "Il2rg"
"582" "Il2" "Il2rg"
"583" "Il2" "Il2rb"
"584" "Wnt2b" "Fzd4"
"585" "Efna1" "Epha10"
"586" "Efna1" "Epha3"
"587" "Efna1" "Epha7"
"588" "Efna1" "Epha6"
"589" "Efna1" "Epha8"
"590" "Efna1" "Epha1"
"591" "Efna1" "Epha5"
"592" "Vcam1" "Itga4"
"593" "Vcam1" "Itgb1"
"594" "Vcam1" "Itga9"
"595" "Sfrp2" "Fzd5"
"596" "Pdgfc" "Pdgfra"
"597" "Egf" "Erbb3"
"598" "Egf" "Erbb2"
"599" "Egf" "Erbb4"
"600" "Dkk2" "Lrp6"
"601" "Efna3" "Epha10"
"602" "Efna3" "Epha3"
"603" "Efna3" "Epha7"
"604" "Efna3" "Epha6"
"605" "Efna3" "Epha8"
"606" "Efna3" "Epha1"
"607" "Efna3" "Erbb2"
"608" "Efna3" "Ephb1"
"609" "Efna3" "Epha5"
"610" "Efna4" "Epha10"
"611" "Efna4" "Epha3"
"612" "Efna4" "Epha7"
"613" "Efna4" "Epha6"
"614" "Efna4" "Epha8"
"615" "Efna4" "Epha1"
"616" "Efna4" "Epha5"
"617" "Adam15" "Itgb1"
"618" "Adam15" "Itga9"
"619" "Sema4a" "Plxnb1"
"620" "Sema4a" "Plxnb2"
"621" "Ccn1" "Itgam"
"622" "Tnfsf8" "Tnfrsf8"
"623" "Tln1" "Itgal"
"624" "Tln1" "Itgb1"
"625" "Col9a2" "Mag"
"626" "Edn2" "Ednrb"
"627" "Edn2" "Kel"
"628" "Edn2" "Ednra"
"629" "Sema3c" "Plxna4"
"630" "Sema3c" "Plxnb1"
"631" "Sema3c" "Nrp2"
"632" "Hgf" "Itgb1"
"633" "Hgf" "Nrp2"
"634" "Hgf" "Plxnb1"
"635" "Hgf" "Met"
"636" "Rspo1" "Lgr4"
"637" "Rspo1" "Lgr6"
"638" "Rspo1" "Lrp6"
"639" "Rspo1" "Znrf3"
"640" "Sema3a" "Plxna4"
"641" "Sema3a" "Nrp2"
"642" "Sema3a" "Plxna1"
"643" "Uts2" "Uts2r"
"644" "Cort" "Sstr3"
"645" "Cort" "Sstr2"
"646" "Cort" "Sstr4"
"647" "Cort" "Sstr5"
"648" "Cort" "Sstr1"
"649" "Cort" "Ghsr"
"650" "Draxin" "Dcc"
"651" "Gnb1" "Kcnj6"
"652" "Nmu" "Nmur2"
"653" "Bmp3" "Acvr2b"
"654" "Bmp3" "Acvr2a"
"655" "Fgf5" "Fgfr1"
"656" "Fgf5" "Fgfr2"
"657" "Fgf5" "Fgfr3"
"658" "Cxcl5" "Cxcr2"
"659" "Cxcl5" "Ackr1"
"660" "Ppbp" "Cxcr2"
"661" "Ppbp" "Cxcr1"
"662" "Pf4" "Thbd"
"663" "Pf4" "Fgfr2"
"664" "Pf4" "Cxcr3"
"665" "Pf4" "Lrp1"
"666" "Areg" "Erbb3"
"667" "Areg" "Erbb2"
"668" "Areg" "Erbb4"
"669" "Cxcl3" "Cxcr2"
"670" "Cxcl3" "Cxcr3"
"671" "Cxcl1" "Cxcr2"
"672" "Cxcl1" "Cxcr1"
"673" "Cxcl1" "Ackr1"
"674" "Il31" "Il31ra"
"675" "Pla2g1b" "Pla2r1"
"676" "Col1a2" "Itgb1"
"677" "Col1a2" "Itga2"
"678" "Col1a2" "Cd93"
"679" "Gng11" "Kcnj6"
"680" "Epo" "Mpl"
"681" "Gnb2" "Kcnj6"
"682" "Npy" "Npy4r"
"683" "Npy" "Npy5r"
"684" "Npy" "Npy1r"
"685" "Npy" "Dpp4"
"686" "Npy" "Npy6r"
"687" "Npy" "Fap"
"688" "Npvf" "Npffr2"
"689" "Tgfa" "Erbb3"
"690" "Tgfa" "Erbb2"
"691" "Tgfa" "Erbb4"
"692" "Bmp10" "Acvr1"
"693" "Bmp10" "Bmpr2"
"694" "Bmp10" "Bmpr1a"
"695" "Bmp10" "Alk"
"696" "Prok2" "Prokr2"
"697" "Prok2" "Prokr1"
"698" "Wnt7a" "Fzd1"
"699" "Wnt7a" "Fzd9"
"700" "Wnt7a" "Fzd3"
"701" "Wnt7a" "Adgra2"
"702" "Wnt7a" "Lrp6"
"703" "Wnt7a" "Fzd5"
"704" "Wnt7a" "Fzd4"
"705" "Wnt7a" "Fzd7"
"706" "Gdf3" "Acvr2b"
"707" "Gdf3" "Acvr2a"
"708" "Clec2d" "Klrb1b"
"709" "Rtn2" "Rtn4r"
"710" "Vasp" "Itga4"
"711" "Mfge8" "Itgb5"
"712" "Mfge8" "Itgb1"
"713" "Calca" "Calcrl"
"714" "Calca" "Calcr"
"715" "Fgf21" "Fgfr1"
"716" "Fgf21" "Fgfr2"
"717" "Fgf21" "Fgfr3"
"718" "Izumo1" "Izumo1r"
"719" "Hpx" "Lrp1"
"720" "Fgf15" "Fgfr1"
"721" "Fgf15" "Fgfr2"
"722" "Fgf15" "Fgfr3"
"723" "Fadd" "Tradd"
"724" "Cd40lg" "Traf1"
"725" "Fgf13" "Fgfr1"
"726" "Fgf13" "Fgfr2"
"727" "Fgf13" "Scn5a"
"728" "Fgf13" "Fgfr3"
"729" "F9" "Lrp1"
"730" "F8" "Ldlr"
"731" "F8" "Lrp1"
"732" "Fgf16" "Fgfr1"
"733" "Fgf16" "Fgfr2"
"734" "Fgf16" "Fgfr3"
"735" "Bgn" "P2rx7"
"736" "Bgn" "Tlr4"
"737" "Vegfd" "Nrp2"
"738" "Vegfd" "Fgfr2"
"739" "Vegfd" "Kdr"
"740" "Vegfd" "Itga9"
"741" "Angpt2" "Itgb1"
"742" "Angpt2" "Tek"
"743" "Tnfsf13b" "Tnfrsf13c"
"744" "Col4a1" "Itgb1"
"745" "Col4a1" "Cd93"
"746" "Col4a2" "Itgb1"
"747" "Col4a2" "Cd93"
"748" "Vegfc" "Ccbe1"
"749" "Vegfc" "Itgb1"
"750" "Vegfc" "Nrp2"
"751" "Vegfc" "Kdr"
"752" "Vegfc" "Itga9"
"753" "Plat" "Lrp1"
"754" "Plat" "Itgam"
"755" "Sfrp1" "Fzd2"
"756" "Fgf20" "Fgfr1"
"757" "Fgf20" "Fgfr2"
"758" "Fgf20" "Fgfr3"
"759" "Il15" "Il15ra"
"760" "Il15" "Il2rb"
"761" "Il15" "Il11ra1"
"762" "Mmp2" "Itgb1"
"763" "Cx3cl1" "Itga4"
"764" "Cx3cl1" "Itgb1"
"765" "Cx3cl1" "Cx3cr1"
"766" "Ccl22" "Ccr4"
"767" "Ccl22" "Ackr2"
"768" "Ccl22" "Dpp4"
"769" "Ccl17" "Ccr8"
"770" "Ccl17" "Ccr4"
"771" "Ccl17" "Ackr1"
"772" "Ccl17" "Ackr2"
"773" "Insl3" "Rxfp2"
"774" "Insl3" "Rxfp1"
"775" "Jam3" "Itgam"
"776" "Jam3" "Itga4"
"777" "Jam3" "Itgal"
"778" "Jam3" "Itgb1"
"779" "Apoc3" "Ldlr"
"780" "Apoc3" "Lrp1"
"781" "Apoa1" "Lrp2"
"782" "Lipc" "Scarb1"
"783" "Lipc" "Lrp1"
"784" "Ptgs2" "Ptger4"
"785" "Ptgs2" "Ptger3"
"786" "Ptgs2" "Ptger2"
"787" "Tdgf1" "Acvr2b"
"788" "Tdgf1" "Acvr2a"
"789" "Tdgf1" "Gpc1"
"790" "Tdgf1" "Fzd7"
"791" "Ucn" "Crhr1"
"792" "Ntng2" "Lrrc4c"
"793" "Ntng2" "Lrrc4"
"794" "Avp" "Oxtr"
"795" "Lgals3bp" "Itgb1"
